severity,issue_type,id,class_level,subject,topic,difficulty,stem_snippet,answer_index,keyed_option,recommended_action,reason
error,wrong_answer_key,449,B5,Mathematics,Subtraction,Easy,100 - 37 = ?,2,73,fix key,"100 − 37 = 63, but answer_index=2 keys option C '73'. Explanation correctly says 63. Set answer_index=1 (B)."
error,wrong_answer_key,234,B5,Mathematics,Decimals,Easy,What is 2.5 + 1.5?,2,4.5,fix key,"2.5 + 1.5 = 4.0, but answer_index=2 keys '4.5'. Explanation says 4.0. Set answer_index=1 (B)."
error,wrong_answer_key,242,B5,Mathematics,Money,Medium,A dress costs GHS 80. It is discounted by GHS 15. What is the new price?,2,GHS 75,fix key,"GHS 80 − GHS 15 = GHS 65, but answer_index=2 keys 'GHS 75'. Explanation says 65. Set answer_index=1 (B)."
error,wrong_answer_key,305,B7,Mathematics,Algebra,Medium,Solve: 5x - 3 = 22,2,6,fix key,"5x − 3 = 22 → 5x = 25 → x = 5, but answer_index=2 keys '6'. Explanation also states x=5 then rambles. Set answer_index=1 (B) and rewrite explanation."
error,wrong_answer_key,413,B6,Science,Energy,Hard,Which simple machine is a ramp?,2,Wedge,rewrite,"A ramp is an inclined plane, not a wedge. Keyed C 'Wedge' is false; options omit 'Inclined plane', so there is no correct choice. Rewrite options and key; deactivate until fixed."
level,out_of_level,440,B9,Mathematics,Calculus,Hard,What does derivative represent?,1,Rate of change,deactivate,"Calculus / derivative is SHS–tertiary, not B4–B9 CCP mathematics."
level,out_of_level,464,B8,Mathematics,Matrices,Hard,A 2×3 matrix has how many elements?,3,6,deactivate,Matrices are not a B4–B9 CCP topic (SHS elective / further math).
level,out_of_level,468,B9,Mathematics,Complex Numbers,Hard,What is i² (where i is imaginary)?,1,-1,deactivate,"Imaginary unit i² is complex numbers, SHS/tertiary, not JHS."
level,out_of_level,463,B8,Mathematics,Logarithms,Hard,log₂(8) = ?,1,3,deactivate,Logarithms (log₂ 8) go beyond JHS indices; typically SHS.
level,out_of_level,422,B9,Mathematics,Trigonometry,Hard,What does sine represent in a right triangle?,0,Opposite/Hypotenuse,deactivate,"Sine as opposite/hypotenuse is SHS trigonometry; JHS has Pythagoras, not trig ratios."
level,out_of_level,470,B9,Science,Quantum,Hard,What is Planck's constant used for?,1,Quantum mechanics,deactivate,Planck's constant / quantum mechanics is far beyond B9 science. Options A and B are also both arguable (ambiguous).
level,out_of_level,471,B9,Science,Relativity,Hard,Einstein's E=mc² relates what?,1,Energy and mass,deactivate,"Einstein E=mc² / relativity is SHS–tertiary physics, not CCP B9."
level,out_of_level,472,B9,Computing,Machine Learning,Hard,What does ML stand for?,1,Machine Learning,deactivate,"Machine Learning acronym item is awareness trivia, not B4–B9 Computing CCP core."
level,out_of_level,469,B9,Mathematics,Statistics,Hard,What is standard deviation?,1,Measure of spread,deactivate,"Standard deviation is SHS statistics, not typical B9 CCP."
level,out_of_level,431,B6,Mathematics,Statistics,Hard,Quartiles divide data into how many parts?,2,4,deactivate,"Quartiles at B6 is years early; even B9 CCP data work is mean/median/mode/range, not quartiles."
level,out_of_level,292,B6,Science,Light,Medium,What colour of light has the longest wavelength?,1,Red,relevel,"Visible-light wavelength at B6 is SHS physics. If kept, move to B9 and still mark needs_review vs official docs."
level,out_of_level,417,B7,Science,Light,Hard,Which colour has the shortest wavelength?,3,Violet,relevel,Shortest visible wavelength (violet) is SHS light/waves. Too advanced for B7; B9 still a stretch.
level,out_of_level,433,B6,Computing,Software,Hard,What does HTML stand for?,0,Hyper Text Markup Language,relevel,HTML expansion at B6 is early; Ghana primary computing is devices/files/safety. Better as B8/B9 Computing.
level,out_of_level,419,B8,Mathematics,Geometry,Hard,What is the area of a circle with radius 5?,0,25π,relevel,Symbolic area 25π is fine for upper JHS; B8 Hard is aggressive. Safer as B9.
level,out_of_level,429,B5,Science,Human Body,Hard,How many bones does an adult human have?,2,206,relevel,"Adult bone count 206 is rote trivia, not B5 science. If kept, B7+."
quality,empty_or_wrong_explanation,200,B9,Computing,Web Technologies,Hard,How does the World Wide Web (WWW) relate to the internet?,1,The WWW is a collection of websites and pages accessible via the internet,rewrite,Explanation appends a full 'Answer Key (Quick Reference)' dumping Q1–Q200 keys plus pipeline notes — leaks the seed bank if shown after answering.
quality,empty_or_wrong_explanation,305,B7,Mathematics,Algebra,Medium,Solve: 5x - 3 = 22,2,6,rewrite,"Explanation is an LLM scratchpad ('wait, let me recalculate… Hmm') even though it eventually states x=5. Rewrite after fixing the key."
quality,ambiguous_two_correct,281,B6,Mathematics,Fractions,Hard,What is 3/4 × 2/3?,2,6/12 (or 1/2),rewrite,3/4 × 2/3 = 1/2. Both A '1/2' and C '6/12 (or 1/2)' are correct. Remove the unsimplified duplicate.
quality,ambiguous_two_correct,34,B5,Mathematics,Number/Fractions,Easy,What is 1/4 + 1/4?,1,1/2,rewrite,"1/4 + 1/4 = 1/2 = 2/8. A pedagogic key of simplified 1/2 is fine, but 2/8 is also correct. Change C to a non-equivalent distractor."
quality,ambiguous_two_correct,170,B9,Mathematics,Algebra,Medium,Factorize: 4x + 8.,1,4(x + 2),rewrite,Factorize 4x+8: B 4(x+2) is HCF (intended). A 2(2x+4) is also algebraically correct. Replace A with a wrong expansion.
quality,ambiguous_two_correct,370,B9,Mathematics,Factorization,Medium,Factorize: 4x + 8,1,4(x + 2),rewrite,Clone of 170: 2(2x+4) and 4(x+2) are both valid factorizations.
